,name,match_code,stage_detail,base_points,total_points,cumulative_total_points,cumulative_avg_total_points,difference
103,Jonny,M38,04. KO - Round of 16,0,0,21,14.3,6.699999999999999
104,Jonny,M39,04. KO - Round of 16,1,2,23,15.7,7.300000000000001
105,Jonny,M40,04. KO - Round of 16,0,0,23,15.7,7.300000000000001
106,Jonny,M41,04. KO - Round of 16,0,0,23,15.7,7.300000000000001
107,Jonny,M42,04. KO - Round of 16,0,0,23,16.8,6.199999999999999
108,Jonny,M43,04. KO - Round of 16,1,1,24,17.2,6.800000000000001
109,Jonny,M44,04. KO - Round of 16,0,0,24,17.2,6.800000000000001
110,Jonny,M45,05. KO - Quarter Final,3,3,27,18.2,8.8
111,Jonny,M46,05. KO - Quarter Final,0,0,27,18.4,8.600000000000001
112,Jonny,M47,05. KO - Quarter Final,1,2,29,20.7,8.3
113,Jonny,M48,05. KO - Quarter Final,3,3,32,21.3,10.7
114,Jonny,M49,06. KO - Semi Final,1,2,34,23.1,10.899999999999999
115,Jonny,M50,06. KO - Semi Final,0,0,34,23.9,10.100000000000001
116,Larry,M01,01. Groups - Matchday 1,1,2,2,1.6,0.3999999999999999
117,Larry,M03,01. Groups - Matchday 1,1,1,3,2.2,0.7999999999999998
118,Larry,M05,01. Groups - Matchday 1,1,1,4,3.9,0.10000000000000009
119,Larry,M08,01. Groups - Matchday 1,1,1,5,4.8,0.20000000000000018
120,Larry,M12,01. Groups - Matchday 1,3,3,8,6.2,1.7999999999999998
121,Larry,M13,02. Groups - Matchday 2,0,0,8,6.2,1.7999999999999998
122,Larry,M16,02. Groups - Matchday 2,1,1,9,6.8,2.2
123,Larry,M17,02. Groups - Matchday 2,0,0,9,6.9,2.0999999999999996
124,Larry,M20,02. Groups - Matchday 2,0,0,9,7.1,1.9000000000000004
125,Larry,M22,02. Groups - Matchday 2,1,1,10,8.8,1.1999999999999993
126,Larry,M26,03. Groups - Matchday 3,0,0,10,9.3,0.6999999999999993
127,Larry,M28,03. Groups - Matchday 3,0,0,10,10.0,0.0
128,Larry,M30,03. Groups - Matchday 3,1,1,11,10.1,0.9000000000000004
129,Larry,M31,03. Groups - Matchday 3,0,0,11,10.2,0.8000000000000007
130,Larry,M36,03. Groups - Matchday 3,0,0,11,11.8,-0.8000000000000007
131,Larry,M37,04. KO - Round of 16,1,2,13,14.1,-1.0999999999999996
132,Larry,M38,04. KO - Round of 16,1,1,14,14.3,-0.3000000000000007
133,Larry,M39,04. KO - Round of 16,1,1,15,15.7,-0.6999999999999993
134,Larry,M40,04. KO - Round of 16,0,0,15,15.7,-0.6999999999999993
135,Larry,M41,04. KO - Round of 16,0,0,15,15.7,-0.6999999999999993
136,Larry,M42,04. KO - Round of 16,1,1,16,16.8,-0.8000000000000007
137,Larry,M43,04. KO - Round of 16,0,0,16,17.2,-1.1999999999999993
138,Larry,M44,04. KO - Round of 16,0,0,16,17.2,-1.1999999999999993
139,Larry,M45,05. KO - Quarter Final,0,0,16,18.2,-2.1999999999999993
140,Larry,M46,05. KO - Quarter Final,0,0,16,18.4,-2.3999999999999986
141,Larry,M47,05. KO - Quarter Final,1,1,17,20.7,-3.6999999999999993
